rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
37,49,43,25,43,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
37,43,55,25,43,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
61,25,25,25,67,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
193,31,31,151,193,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
199,19,37,181,199,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
199,37,19,181,199,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
181,199,193,199,175,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
97,91,97,73,97,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
127,109,103,121,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
37,13,13,25,43,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
79,1,1,67,79,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
1,7,7,1,1,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
127,67,67,121,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
91,181,181,121,91,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
157,61,73,151,157,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
181,85,127,199,175,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
97,115,121,73,97,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
25,127,109,25,25,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
7,73,61,7,7,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
85,103,91,73,85,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
73,205,205,73,61,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
145,79,79,121,151,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
157,145,163,151,157,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
97,157,151,73,97,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
61,97,85,25,67,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
7,121,139,7,7,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
97,55,49,73,97,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
151,193,199,181,145,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
175,169,169,151,187,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
157,163,157,151,157,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
97,175,175,73,97,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
25,133,133,25,25,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
7,139,115,7,7,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
127,151,145,121,127,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
55,187,187,73,37,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
37,49,43,25,43,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
37,43,55,25,43,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
61,25,25,25,67,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
193,31,31,151,193,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
199,19,37,181,199,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
199,37,19,181,199,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
181,199,193,199,175,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
97,91,97,73,97,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
127,109,103,121,127,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
37,13,13,25,43,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
79,1,1,67,79,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
1,7,7,1,1,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
127,67,67,121,127,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
91,181,181,121,91,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
157,61,73,151,157,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
181,85,127,199,175,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
97,115,121,73,97,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
25,127,109,25,25,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
7,73,61,7,7,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
85,103,91,73,85,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
73,205,205,73,61,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
145,79,79,121,151,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
157,145,163,151,157,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
97,157,151,73,97,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
61,97,85,25,67,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
7,121,139,7,7,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 300}"
97,55,49,73,97,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 400}"
151,193,199,181,145,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 50}"
175,169,169,151,187,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 100}"
157,163,157,151,157,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 150}"
97,175,175,73,97,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 200}"
25,133,133,25,25,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 250}"
7,139,115,7,7,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 300}"
127,151,145,121,127,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 400}"
55,187,187,73,37,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 50}"
37,49,43,25,43,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 100}"
37,43,55,25,43,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 150}"
61,25,25,25,67,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 200}"
193,31,31,151,193,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 250}"
199,19,37,181,199,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 300}"
199,37,19,181,199,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 400}"
181,199,193,199,175,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 50}"
97,91,97,73,97,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 100}"
127,109,103,121,127,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 150}"
37,13,13,25,43,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 200}"
79,1,1,67,79,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 250}"
1,7,7,1,1,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 300}"
127,67,67,121,127,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 400}"
91,181,181,121,91,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 50}"
157,61,73,151,157,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 100}"
181,85,127,199,175,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 150}"
97,115,121,73,97,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 200}"
25,127,109,25,25,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 250}"
7,73,61,7,7,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 300}"
85,103,91,73,85,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 400}"
73,205,205,73,61,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 50}"
145,79,79,121,151,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 100}"
157,145,163,151,157,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 150}"
97,157,151,73,97,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 200}"
61,97,85,25,67,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 250}"
7,121,139,7,7,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 300}"
97,55,49,73,97,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 400}"
151,193,199,181,145,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 50}"
175,169,169,151,187,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 100}"
157,163,157,151,157,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 150}"
97,175,175,73,97,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 200}"
25,133,133,25,25,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 250}"
7,139,115,7,7,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 300}"
127,151,145,121,127,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 400}"
55,187,187,73,37,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 50}"
37,49,43,25,43,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 100}"
37,43,55,25,43,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 150}"
61,25,25,25,67,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 200}"
193,31,31,151,193,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 250}"
199,19,37,181,199,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 300}"
199,37,19,181,199,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 400}"
181,199,193,199,175,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 50}"
97,91,97,73,97,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 100}"
127,109,103,121,127,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 150}"
37,13,13,25,43,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 200}"
79,1,1,67,79,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 250}"
1,7,7,1,1,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 300}"
127,67,67,121,127,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 400}"
91,181,181,121,91,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 50}"
157,61,73,151,157,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 100}"
181,85,127,199,175,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 150}"
97,115,121,73,97,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 200}"
25,127,109,25,25,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 250}"
7,73,61,7,7,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 300}"
85,103,91,73,85,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 400}"
