rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
97,85,73,97,97,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
125,73,77,133,117,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
13,77,65,9,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
81,65,69,77,77,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
53,57,61,37,57,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
61,81,57,57,61,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
117,125,121,97,121,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
89,61,81,77,89,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
81,69,85,77,77,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
1,33,9,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
17,49,13,17,17,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
17,53,1,17,17,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
61,45,5,57,61,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
137,129,129,137,137,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
97,89,93,97,97,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
113,93,89,121,113,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
69,97,97,57,73,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
17,1,25,17,17,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
37,9,17,37,33,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
37,41,29,37,33,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
117,133,133,97,121,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
97,105,105,97,97,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
97,109,109,97,97,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
9,17,21,9,9,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
17,25,33,17,17,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
129,101,101,121,129,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
57,37,37,57,49,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
77,137,137,57,85,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
89,121,117,77,89,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
129,113,113,121,129,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
5,21,49,5,5,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
37,5,45,37,33,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
37,13,53,37,33,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
73,29,41,77,69,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
33,117,125,17,53,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 50}"
97,85,73,97,97,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 100}"
125,73,77,133,117,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 150}"
13,77,65,9,13,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 200}"
81,65,69,77,77,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 250}"
53,57,61,37,57,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 300}"
61,81,57,57,61,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 400}"
117,125,121,97,121,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 50}"
89,61,81,77,89,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 100}"
81,69,85,77,77,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 150}"
1,33,9,1,1,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 200}"
17,49,13,17,17,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 250}"
17,53,1,17,17,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 300}"
61,45,5,57,61,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 400}"
137,129,129,137,137,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 50}"
97,89,93,97,97,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 100}"
113,93,89,121,113,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 150}"
69,97,97,57,73,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 200}"
17,1,25,17,17,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 250}"
37,9,17,37,33,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 300}"
37,41,29,37,33,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 400}"
117,133,133,97,121,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 50}"
97,105,105,97,97,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 100}"
97,109,109,97,97,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 150}"
9,17,21,9,9,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 200}"
17,25,33,17,17,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 250}"
129,101,101,121,129,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 300}"
57,37,37,57,49,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 400}"
77,137,137,57,85,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 50}"
89,121,117,77,89,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 100}"
129,113,113,121,129,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 150}"
5,21,49,5,5,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 200}"
37,5,45,37,33,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 250}"
37,13,53,37,33,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 300}"
73,29,41,77,69,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 400}"
