rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
67,31,19,79,61,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
7,37,31,1,7,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
19,49,25,19,25,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
25,7,13,7,55,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
61,1,1,25,67,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
85,13,7,25,127,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
1,175,181,7,1,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
91,103,73,133,85,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
79,19,37,79,79,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
163,43,79,169,163,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
115,61,43,133,109,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
97,85,61,79,97,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
133,79,49,79,133,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
31,187,187,49,19,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
37,67,139,25,31,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
73,151,163,49,73,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
115,139,133,133,109,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
193,55,67,169,199,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
181,91,85,133,187,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
193,25,55,169,199,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
43,199,199,49,37,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
43,169,157,49,37,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
163,181,175,169,163,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
115,145,127,133,109,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
133,121,121,79,133,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
97,127,97,79,97,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
133,73,91,79,133,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
13,193,193,25,13,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
109,163,169,169,91,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
205,115,115,205,181,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
163,133,151,169,163,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
133,109,109,79,133,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
133,157,145,79,133,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
181,97,103,133,187,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
43,205,205,49,37,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
67,31,19,79,61,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
7,37,31,1,7,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
19,49,25,19,25,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
25,7,13,7,55,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
61,1,1,25,67,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
85,13,7,25,127,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
1,175,181,7,1,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
91,103,73,133,85,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
79,19,37,79,79,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
163,43,79,169,163,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
115,61,43,133,109,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
97,85,61,79,97,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
133,79,49,79,133,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
31,187,187,49,19,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
37,67,139,25,31,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
73,151,163,49,73,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
115,139,133,133,109,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
193,55,67,169,199,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
181,91,85,133,187,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
193,25,55,169,199,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
43,199,199,49,37,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
43,169,157,49,37,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
163,181,175,169,163,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
115,145,127,133,109,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
133,121,121,79,133,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
97,127,97,79,97,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 300}"
133,73,91,79,133,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 400}"
13,193,193,25,13,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 50}"
109,163,169,169,91,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 100}"
205,115,115,205,181,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 150}"
163,133,151,169,163,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 200}"
133,109,109,79,133,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 250}"
133,157,145,79,133,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 300}"
181,97,103,133,187,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 400}"
43,205,205,49,37,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 50}"
67,31,19,79,61,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 100}"
7,37,31,1,7,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 150}"
19,49,25,19,25,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 200}"
25,7,13,7,55,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 250}"
61,1,1,25,67,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 300}"
85,13,7,25,127,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 400}"
1,175,181,7,1,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 50}"
91,103,73,133,85,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 100}"
79,19,37,79,79,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 150}"
163,43,79,169,163,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 200}"
115,61,43,133,109,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 250}"
97,85,61,79,97,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 300}"
133,79,49,79,133,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 400}"
31,187,187,49,19,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 50}"
37,67,139,25,31,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 100}"
73,151,163,49,73,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 150}"
115,139,133,133,109,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 200}"
193,55,67,169,199,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 250}"
181,91,85,133,187,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 300}"
193,25,55,169,199,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 400}"
43,199,199,49,37,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 50}"
43,169,157,49,37,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 100}"
163,181,175,169,163,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 150}"
115,145,127,133,109,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 200}"
133,121,121,79,133,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 250}"
97,127,97,79,97,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 300}"
133,73,91,79,133,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 400}"
13,193,193,25,13,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 50}"
109,163,169,169,91,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 100}"
205,115,115,205,181,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 150}"
163,133,151,169,163,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 200}"
133,109,109,79,133,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 250}"
133,157,145,79,133,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 300}"
181,97,103,133,187,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 400}"
43,205,205,49,37,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 50}"
67,31,19,79,61,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 100}"
7,37,31,1,7,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 150}"
19,49,25,19,25,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 200}"
25,7,13,7,55,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 250}"
61,1,1,25,67,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 300}"
85,13,7,25,127,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 400}"
1,175,181,7,1,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 50}"
91,103,73,133,85,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 100}"
79,19,37,79,79,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 150}"
163,43,79,169,163,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 200}"
115,61,43,133,109,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 250}"
97,85,61,79,97,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 300}"
133,79,49,79,133,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 400}"
31,187,187,49,19,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 50}"
37,67,139,25,31,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 100}"
73,151,163,49,73,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 150}"
115,139,133,133,109,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 200}"
193,55,67,169,199,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 250}"
181,91,85,133,187,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 300}"
193,25,55,169,199,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 400}"
43,199,199,49,37,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 50}"
43,169,157,49,37,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 100}"
163,181,175,169,163,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 150}"
115,145,127,133,109,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 200}"
133,121,121,79,133,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 250}"
97,127,97,79,97,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 300}"
133,73,91,79,133,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 400}"
13,193,193,25,13,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 50}"
109,163,169,169,91,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 100}"
205,115,115,205,181,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 150}"
163,133,151,169,163,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 200}"
133,109,109,79,133,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 250}"
133,157,145,79,133,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 300}"
181,97,103,133,187,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 400}"
