params,f1,roc_auc,average_precision,accuracy,balanced_accuracy,rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy
"{'max_depth': 5, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 5, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 5, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 5, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 5, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
"{'max_depth': 6, 'min_child_weight': 1}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,28,1,1,28,28
"{'max_depth': 6, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 6, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 6, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 6, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 6, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
"{'max_depth': 7, 'min_child_weight': 1}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,28,1,1,28,28
"{'max_depth': 7, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 7, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 7, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 7, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 7, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
"{'max_depth': 8, 'min_child_weight': 1}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,28,1,1,28,28
"{'max_depth': 8, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 8, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 8, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 8, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 8, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
"{'max_depth': 9, 'min_child_weight': 1}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,28,1,1,28,28
"{'max_depth': 9, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 9, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 9, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 9, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 9, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
"{'max_depth': 10, 'min_child_weight': 1}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,28,1,1,28,28
"{'max_depth': 10, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 10, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 10, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 10, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 10, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
"{'max_depth': 12, 'min_child_weight': 1}",0.5866666666666666,0.824625902992776,0.8378327366485758,0.6950819672131148,0.6959494324045408,28,1,1,28,28
"{'max_depth': 12, 'min_child_weight': 2}",0.5866666666666666,0.8210784313725491,0.835994588871318,0.6950819672131148,0.6959494324045408,28,10,10,28,28
"{'max_depth': 12, 'min_child_weight': 3}",0.5866666666666666,0.8061360509115928,0.8172461186729421,0.6950819672131148,0.6959494324045408,28,37,37,28,28
"{'max_depth': 12, 'min_child_weight': 4}",0.5929203539823009,0.8064800481596148,0.8180204374891059,0.6983606557377049,0.6992174062607499,1,19,19,1,1
"{'max_depth': 12, 'min_child_weight': 5}",0.5929203539823009,0.8061360509115928,0.8170811420278189,0.6983606557377049,0.6992174062607499,1,37,46,1,1
"{'max_depth': 12, 'min_child_weight': 6}",0.5929203539823009,0.8063510491916066,0.8173024895417041,0.6983606557377049,0.6992174062607499,1,28,28,1,1
