rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
139,43,37,103,139,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
187,19,31,169,187,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
145,7,1,133,145,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
175,1,25,133,175,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
181,13,13,163,181,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
199,25,7,169,205,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
193,199,199,199,193,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
157,79,55,169,157,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
103,115,157,103,103,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
49,55,73,103,49,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
31,37,43,31,31,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
115,49,61,133,115,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
145,67,49,133,145,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
157,187,181,169,157,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
127,133,139,31,127,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
13,139,127,1,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
31,91,91,31,31,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
7,85,79,7,7,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
61,73,85,31,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
61,61,67,31,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
115,205,205,133,115,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
19,163,163,7,19,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
127,169,169,31,127,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
31,121,121,31,31,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
49,109,109,103,49,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
61,103,97,31,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
61,97,103,31,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
157,193,193,169,157,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
61,175,175,31,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
103,151,145,103,103,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
61,157,151,31,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
25,145,133,19,25,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
61,127,115,31,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
205,31,19,205,199,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
1,181,187,19,1,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 50}"
139,43,37,103,139,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 100}"
187,19,31,169,187,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 150}"
145,7,1,133,145,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200}"
175,1,25,133,175,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 250}"
181,13,13,163,181,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 300}"
199,25,7,169,205,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 400}"
193,199,199,199,193,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50}"
157,79,55,169,157,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100}"
103,115,157,103,103,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150}"
49,55,73,103,49,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200}"
31,37,43,31,31,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 250}"
115,49,61,133,115,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 300}"
145,67,49,133,145,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 400}"
157,187,181,169,157,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50}"
127,133,139,31,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100}"
13,139,127,1,13,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150}"
31,91,91,31,31,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200}"
7,85,79,7,7,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 250}"
61,73,85,31,61,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 300}"
61,61,67,31,61,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 400}"
115,205,205,133,115,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 50}"
19,163,163,7,19,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 100}"
127,169,169,31,127,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 150}"
31,121,121,31,31,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 200}"
49,109,109,103,49,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 250}"
61,103,97,31,61,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 300}"
61,97,103,31,61,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 400}"
157,193,193,169,157,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 50}"
61,175,175,31,61,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 100}"
103,151,145,103,103,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 150}"
61,157,151,31,61,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 200}"
25,145,133,19,25,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 250}"
61,127,115,31,61,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 300}"
205,31,19,205,199,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 400}"
1,181,187,19,1,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50}"
139,43,37,103,139,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
187,19,31,169,187,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
145,7,1,133,145,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
175,1,25,133,175,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
181,13,13,163,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
199,25,7,169,205,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
193,199,199,199,193,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
157,79,55,169,157,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
103,115,157,103,103,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
49,55,73,103,49,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
31,37,43,31,31,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
115,49,61,133,115,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
145,67,49,133,145,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
157,187,181,169,157,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
127,133,139,31,127,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
13,139,127,1,13,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
31,91,91,31,31,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
7,85,79,7,7,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
61,73,85,31,61,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
61,61,67,31,61,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
115,205,205,133,115,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
19,163,163,7,19,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
127,169,169,31,127,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
31,121,121,31,31,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
49,109,109,103,49,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
61,103,97,31,61,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
61,97,103,31,61,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
157,193,193,169,157,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
61,175,175,31,61,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
103,151,145,103,103,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
61,157,151,31,61,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
25,145,133,19,25,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
61,127,115,31,61,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
205,31,19,205,199,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
1,181,187,19,1,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
139,43,37,103,139,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
187,19,31,169,187,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
145,7,1,133,145,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
175,1,25,133,175,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
181,13,13,163,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
199,25,7,169,205,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
193,199,199,199,193,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
157,79,55,169,157,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
103,115,157,103,103,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
49,55,73,103,49,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
31,37,43,31,31,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
115,49,61,133,115,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
145,67,49,133,145,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
157,187,181,169,157,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
127,133,139,31,127,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
13,139,127,1,13,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
31,91,91,31,31,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
7,85,79,7,7,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
61,73,85,31,61,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
61,61,67,31,61,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
115,205,205,133,115,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
19,163,163,7,19,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
127,169,169,31,127,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
31,121,121,31,31,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
49,109,109,103,49,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
61,103,97,31,61,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 300}"
61,97,103,31,61,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 400}"
157,193,193,169,157,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 50}"
61,175,175,31,61,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 100}"
103,151,145,103,103,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 150}"
61,157,151,31,61,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 200}"
25,145,133,19,25,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 250}"
61,127,115,31,61,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 300}"
205,31,19,205,199,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 400}"
