rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
43,79,115,13,73,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
133,67,37,85,169,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
127,43,31,121,145,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
157,49,19,121,181,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
157,61,7,121,181,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
109,19,1,43,163,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
175,199,205,199,67,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
193,121,121,169,199,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
85,91,79,43,127,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
133,97,97,85,169,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
19,7,25,43,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
157,85,67,121,181,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
61,1,13,43,79,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
145,187,199,181,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
151,145,157,145,151,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
181,31,55,181,103,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
49,133,127,85,43,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
25,169,145,13,31,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
13,115,85,7,25,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
85,103,73,43,127,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
97,175,175,145,55,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
205,73,103,199,157,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
181,37,91,181,103,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
49,55,61,85,43,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
7,25,43,13,7,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
31,13,49,85,19,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
73,109,109,13,115,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
115,193,193,145,91,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
193,181,187,169,199,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
61,205,181,43,79,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
37,163,163,43,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
1,151,133,1,1,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
103,139,151,85,139,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
73,157,139,13,115,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
115,127,169,145,91,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 50}"
43,79,115,13,73,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 100}"
133,67,37,85,169,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 150}"
127,43,31,121,145,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200}"
157,49,19,121,181,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 250}"
157,61,7,121,181,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 300}"
109,19,1,43,163,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 400}"
175,199,205,199,67,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50}"
193,121,121,169,199,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100}"
85,91,79,43,127,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150}"
133,97,97,85,169,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200}"
19,7,25,43,13,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 250}"
157,85,67,121,181,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 300}"
61,1,13,43,79,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 400}"
145,187,199,181,61,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50}"
151,145,157,145,151,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100}"
181,31,55,181,103,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150}"
49,133,127,85,43,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200}"
25,169,145,13,31,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 250}"
13,115,85,7,25,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 300}"
85,103,73,43,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 400}"
97,175,175,145,55,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 50}"
205,73,103,199,157,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 100}"
181,37,91,181,103,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 150}"
49,55,61,85,43,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 200}"
7,25,43,13,7,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 250}"
31,13,49,85,19,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 300}"
73,109,109,13,115,"{'max_layers': 50, 'n_estimators': 10, 'n_trees': 400}"
115,193,193,145,91,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 50}"
193,181,187,169,199,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 100}"
61,205,181,43,79,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 150}"
37,163,163,43,37,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 200}"
1,151,133,1,1,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 250}"
103,139,151,85,139,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 300}"
73,157,139,13,115,"{'max_layers': 50, 'n_estimators': 13, 'n_trees': 400}"
115,127,169,145,91,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50}"
43,79,115,13,73,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
133,67,37,85,169,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
127,43,31,121,145,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
157,49,19,121,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
157,61,7,121,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
109,19,1,43,163,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
175,199,205,199,67,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
193,121,121,169,199,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
85,91,79,43,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
133,97,97,85,169,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
19,7,25,43,13,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
157,85,67,121,181,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
61,1,13,43,79,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
145,187,199,181,61,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
151,145,157,145,151,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
181,31,55,181,103,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
49,133,127,85,43,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
25,169,145,13,31,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
13,115,85,7,25,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
85,103,73,43,127,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
97,175,175,145,55,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
205,73,103,199,157,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
181,37,91,181,103,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
49,55,61,85,43,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
7,25,43,13,7,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
31,13,49,85,19,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
73,109,109,13,115,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
115,193,193,145,91,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
193,181,187,169,199,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
61,205,181,43,79,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
37,163,163,43,37,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
1,151,133,1,1,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
103,139,151,85,139,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
73,157,139,13,115,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
115,127,169,145,91,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
43,79,115,13,73,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
133,67,37,85,169,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
127,43,31,121,145,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
157,49,19,121,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
157,61,7,121,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
109,19,1,43,163,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
175,199,205,199,67,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
193,121,121,169,199,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
85,91,79,43,127,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
133,97,97,85,169,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
19,7,25,43,13,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
157,85,67,121,181,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
61,1,13,43,79,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
145,187,199,181,61,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
151,145,157,145,151,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
181,31,55,181,103,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
49,133,127,85,43,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
25,169,145,13,31,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
13,115,85,7,25,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
85,103,73,43,127,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
97,175,175,145,55,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
205,73,103,199,157,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
181,37,91,181,103,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
49,55,61,85,43,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
7,25,43,13,7,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
31,13,49,85,19,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 300}"
73,109,109,13,115,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 400}"
115,193,193,145,91,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 50}"
193,181,187,169,199,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 100}"
61,205,181,43,79,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 150}"
37,163,163,43,37,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 200}"
1,151,133,1,1,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 250}"
103,139,151,85,139,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 300}"
73,157,139,13,115,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 400}"
