rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
9,133,133,9,9,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
85,121,121,85,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
85,113,117,85,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
133,105,113,133,133,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
125,77,101,125,125,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
85,53,89,85,85,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
1,129,125,5,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
85,97,109,85,85,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
85,89,93,85,85,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
85,81,81,85,85,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
85,73,61,85,85,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
85,65,53,85,85,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
13,101,49,13,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
125,41,97,125,125,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
85,61,77,85,85,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
13,57,65,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
13,49,45,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
13,33,37,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
13,25,13,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
13,13,25,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
5,137,137,1,5,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
13,93,85,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
13,69,69,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
13,37,41,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
13,21,33,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
13,17,9,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
13,5,17,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
85,125,105,85,85,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
13,85,73,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
13,109,57,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
13,45,29,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
13,29,21,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
13,9,1,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
13,1,5,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
137,117,129,137,137,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 50}"
9,133,133,9,9,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 100}"
85,121,121,85,85,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 150}"
85,113,117,85,85,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 200}"
133,105,113,133,133,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 250}"
125,77,101,125,125,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 300}"
85,53,89,85,85,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 400}"
1,129,125,5,1,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 50}"
85,97,109,85,85,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 100}"
85,89,93,85,85,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 150}"
85,81,81,85,85,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 200}"
85,73,61,85,85,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 250}"
85,65,53,85,85,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 300}"
13,101,49,13,13,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 400}"
125,41,97,125,125,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 50}"
85,61,77,85,85,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 100}"
13,57,65,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 150}"
13,49,45,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 200}"
13,33,37,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 250}"
13,25,13,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 300}"
13,13,25,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 400}"
5,137,137,1,5,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 50}"
13,93,85,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 100}"
13,69,69,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 150}"
13,37,41,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 200}"
13,21,33,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 250}"
13,17,9,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 300}"
13,5,17,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 400}"
85,125,105,85,85,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 50}"
13,85,73,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 100}"
13,109,57,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 150}"
13,45,29,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 200}"
13,29,21,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 250}"
13,9,1,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 300}"
13,1,5,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 400}"
