rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
9,133,133,9,9,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
37,129,129,37,37,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
9,105,125,9,9,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
9,113,121,9,9,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
9,97,97,9,9,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
9,93,89,9,9,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
1,101,117,1,1,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
37,121,105,37,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
37,117,109,37,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
37,37,81,37,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
37,49,69,37,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
37,21,33,37,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
37,9,21,37,37,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
9,109,113,9,9,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
37,53,73,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
37,85,85,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
37,65,61,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
37,77,53,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
37,25,17,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
37,13,9,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
9,125,101,9,9,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
37,69,77,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
37,89,93,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
37,73,65,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
37,81,57,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
37,29,25,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
37,17,13,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
37,61,41,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
37,33,29,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
37,41,49,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
37,45,45,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
37,57,37,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
37,1,1,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
37,5,5,37,37,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
1,137,137,1,1,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 50}"
9,133,133,9,9,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 100}"
37,129,129,37,37,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 150}"
9,105,125,9,9,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 200}"
9,113,121,9,9,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 250}"
9,97,97,9,9,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 300}"
9,93,89,9,9,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 400}"
1,101,117,1,1,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 50}"
37,121,105,37,37,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 100}"
37,117,109,37,37,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 150}"
37,37,81,37,37,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 200}"
37,49,69,37,37,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 250}"
37,21,33,37,37,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 300}"
37,9,21,37,37,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 400}"
9,109,113,9,9,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 50}"
37,53,73,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 100}"
37,85,85,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 150}"
37,65,61,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 200}"
37,77,53,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 250}"
37,25,17,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 300}"
37,13,9,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 400}"
9,125,101,9,9,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 50}"
37,69,77,37,37,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 100}"
37,89,93,37,37,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 150}"
37,73,65,37,37,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 200}"
37,81,57,37,37,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 250}"
37,29,25,37,37,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 300}"
37,17,13,37,37,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 400}"
37,61,41,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 50}"
37,33,29,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 100}"
37,41,49,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 150}"
37,45,45,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 200}"
37,57,37,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 250}"
37,1,1,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 300}"
37,5,5,37,37,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 400}"
