rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
1,69,129,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
13,73,109,13,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
13,89,97,13,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
5,93,81,5,5,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
5,85,73,5,5,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
13,117,77,13,13,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
61,129,133,61,61,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
13,77,113,13,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
61,97,93,61,61,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
61,105,85,61,61,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
13,101,69,13,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
13,61,57,13,13,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
61,65,61,61,61,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
61,125,125,61,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
13,81,105,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
61,21,65,61,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
61,33,45,61,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
13,45,41,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
13,29,21,13,13,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
61,1,9,61,61,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
61,133,117,61,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
61,109,89,61,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
61,25,37,61,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
61,49,33,61,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
61,53,25,61,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
13,37,1,13,13,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
61,5,5,61,61,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
61,137,121,61,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
61,113,101,61,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
61,41,53,61,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
61,57,49,61,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
61,17,29,61,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
13,13,13,13,13,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
61,9,17,61,61,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
13,121,137,13,13,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 50}"
1,69,129,1,1,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 100}"
13,73,109,13,13,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 150}"
13,89,97,13,13,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 200}"
5,93,81,5,5,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 250}"
5,85,73,5,5,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 300}"
13,117,77,13,13,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 400}"
61,129,133,61,61,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 50}"
13,77,113,13,13,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 100}"
61,97,93,61,61,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 150}"
61,105,85,61,61,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 200}"
13,101,69,13,13,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 250}"
13,61,57,13,13,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 300}"
61,65,61,61,61,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 400}"
61,125,125,61,61,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 50}"
13,81,105,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 100}"
61,21,65,61,61,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 150}"
61,33,45,61,61,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 200}"
13,45,41,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 250}"
13,29,21,13,13,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 300}"
61,1,9,61,61,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 400}"
61,133,117,61,61,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 50}"
61,109,89,61,61,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 100}"
61,25,37,61,61,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 150}"
61,49,33,61,61,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 200}"
61,53,25,61,61,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 250}"
13,37,1,13,13,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 300}"
61,5,5,61,61,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 400}"
61,137,121,61,61,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 50}"
61,113,101,61,61,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 100}"
61,41,53,61,61,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 150}"
61,57,49,61,61,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 200}"
61,17,29,61,61,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 250}"
13,13,13,13,13,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 300}"
61,9,17,61,61,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 400}"
