rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
13,28,28,25,10,"{'max_layers': 50, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
67,127,127,61,67,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
67,127,127,61,67,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
67,127,127,61,67,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
109,136,136,109,109,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
109,136,136,109,109,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
109,136,136,109,109,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
22,76,64,13,22,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150, 'predictors': 'xgboost', 'use_predictor': True}"
22,76,64,13,22,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
22,76,64,13,22,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
85,49,37,85,85,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
85,49,37,85,85,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200, 'predictors': 'lightgbm', 'use_predictor': True}"
85,49,37,85,85,"{'max_layers': 50, 'n_estimators': 5, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
127,118,118,127,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
127,118,118,127,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
127,118,118,127,127,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
67,85,85,61,67,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
67,85,85,61,67,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
67,85,85,61,67,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
97,94,94,85,97,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150, 'predictors': 'xgboost', 'use_predictor': True}"
97,94,94,85,97,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
97,94,94,85,97,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
43,67,55,43,43,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
43,67,55,43,43,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200, 'predictors': 'lightgbm', 'use_predictor': True}"
43,67,55,43,43,"{'max_layers': 50, 'n_estimators': 8, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
127,109,109,127,127,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
127,109,109,127,127,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
127,109,109,127,127,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
34,58,73,25,34,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
34,58,73,25,34,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'lightgbm', 'use_predictor': True}"
34,58,73,25,34,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100, 'predictors': 'forest', 'use_predictor': True}"
1,37,46,1,1,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'xgboost', 'use_predictor': True}"
1,37,46,1,1,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'lightgbm', 'use_predictor': True}"
1,37,46,1,1,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150, 'predictors': 'forest', 'use_predictor': True}"
13,28,28,25,10,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'xgboost', 'use_predictor': True}"
13,28,28,25,10,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'lightgbm', 'use_predictor': True}"
13,28,28,25,10,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200, 'predictors': 'forest', 'use_predictor': True}"
67,127,127,61,67,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'xgboost', 'use_predictor': True}"
67,127,127,61,67,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'lightgbm', 'use_predictor': True}"
67,127,127,61,67,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50, 'predictors': 'forest', 'use_predictor': True}"
109,136,136,109,109,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100, 'predictors': 'xgboost', 'use_predictor': True}"
