rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
181,115,49,175,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
127,67,73,109,127,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
205,91,55,205,205,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
181,31,13,175,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
181,19,25,175,181,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
199,25,31,199,199,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
19,181,181,19,19,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
127,55,61,109,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
127,61,115,109,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
175,43,67,175,175,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
91,103,97,67,91,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
169,73,79,157,169,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
127,49,43,109,127,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
67,199,205,67,67,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
19,37,37,19,19,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
157,121,121,157,157,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
67,97,109,67,67,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
19,13,7,19,19,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
67,79,103,67,67,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
91,85,91,67,91,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
19,193,187,19,19,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
19,109,85,19,19,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
109,157,163,109,109,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
19,145,127,19,19,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
127,151,145,109,127,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
67,127,133,67,67,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
91,7,1,67,91,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
7,205,199,7,7,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
19,163,157,19,19,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
109,169,169,109,109,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
157,175,175,157,157,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
13,139,139,13,13,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
109,133,151,109,109,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
61,1,19,19,61,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
1,187,193,1,1,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
181,115,49,175,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
127,67,73,109,127,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
205,91,55,205,205,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
181,31,13,175,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
181,19,25,175,181,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
199,25,31,199,199,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
19,181,181,19,19,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
127,55,61,109,127,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
127,61,115,109,127,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
175,43,67,175,175,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
91,103,97,67,91,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
169,73,79,157,169,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
127,49,43,109,127,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
67,199,205,67,67,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
19,37,37,19,19,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
157,121,121,157,157,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
67,97,109,67,67,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
19,13,7,19,19,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
67,79,103,67,67,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
91,85,91,67,91,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
19,193,187,19,19,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
19,109,85,19,19,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
109,157,163,109,109,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
19,145,127,19,19,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
127,151,145,109,127,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
67,127,133,67,67,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 300}"
91,7,1,67,91,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 400}"
7,205,199,7,7,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 50}"
19,163,157,19,19,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 100}"
109,169,169,109,109,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 150}"
157,175,175,157,157,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 200}"
13,139,139,13,13,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 250}"
109,133,151,109,109,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 300}"
61,1,19,19,61,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 400}"
1,187,193,1,1,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 50}"
181,115,49,175,181,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 100}"
127,67,73,109,127,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 150}"
205,91,55,205,205,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 200}"
181,31,13,175,181,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 250}"
181,19,25,175,181,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 300}"
199,25,31,199,199,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 400}"
19,181,181,19,19,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 50}"
127,55,61,109,127,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 100}"
127,61,115,109,127,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 150}"
175,43,67,175,175,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 200}"
91,103,97,67,91,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 250}"
169,73,79,157,169,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 300}"
127,49,43,109,127,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 400}"
67,199,205,67,67,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 50}"
19,37,37,19,19,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 100}"
157,121,121,157,157,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 150}"
67,97,109,67,67,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 200}"
19,13,7,19,19,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 250}"
67,79,103,67,67,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 300}"
91,85,91,67,91,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 400}"
19,193,187,19,19,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 50}"
19,109,85,19,19,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 100}"
109,157,163,109,109,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 150}"
19,145,127,19,19,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 200}"
127,151,145,109,127,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 250}"
67,127,133,67,67,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 300}"
91,7,1,67,91,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 400}"
7,205,199,7,7,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 50}"
19,163,157,19,19,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 100}"
109,169,169,109,109,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 150}"
157,175,175,157,157,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 200}"
13,139,139,13,13,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 250}"
109,133,151,109,109,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 300}"
61,1,19,19,61,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 400}"
1,187,193,1,1,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 50}"
181,115,49,175,181,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 100}"
127,67,73,109,127,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 150}"
205,91,55,205,205,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 200}"
181,31,13,175,181,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 250}"
181,19,25,175,181,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 300}"
199,25,31,199,199,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 400}"
19,181,181,19,19,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 50}"
127,55,61,109,127,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 100}"
127,61,115,109,127,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 150}"
175,43,67,175,175,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 200}"
91,103,97,67,91,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 250}"
169,73,79,157,169,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 300}"
127,49,43,109,127,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 400}"
67,199,205,67,67,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 50}"
19,37,37,19,19,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 100}"
157,121,121,157,157,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 150}"
67,97,109,67,67,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 200}"
19,13,7,19,19,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 250}"
67,79,103,67,67,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 300}"
91,85,91,67,91,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 400}"
19,193,187,19,19,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 50}"
19,109,85,19,19,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 100}"
109,157,163,109,109,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 150}"
19,145,127,19,19,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 200}"
127,151,145,109,127,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 250}"
67,127,133,67,67,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 300}"
91,7,1,67,91,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 400}"
7,205,199,7,7,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 50}"
19,163,157,19,19,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 100}"
109,169,169,109,109,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 150}"
157,175,175,157,157,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 200}"
13,139,139,13,13,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 250}"
109,133,151,109,109,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 300}"
61,1,19,19,61,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 400}"
