rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
43,91,79,31,49,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 100}"
25,37,61,13,43,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 150}"
7,79,55,1,7,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 200}"
43,49,73,31,49,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 250}"
13,1,49,13,13,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 300}"
61,67,67,31,79,"{'max_layers': 80, 'n_estimators': 2, 'n_trees': 400}"
175,187,187,151,175,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 50}"
85,103,91,79,85,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 100}"
55,55,13,61,37,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 150}"
13,85,97,13,13,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 200}"
31,73,85,31,25,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 250}"
67,19,1,61,61,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 300}"
85,25,7,79,85,"{'max_layers': 80, 'n_estimators': 5, 'n_trees': 400}"
205,199,193,205,205,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 50}"
115,175,175,79,127,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 100}"
1,121,115,1,1,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 150}"
121,115,109,121,115,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 200}"
151,31,25,151,151,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 250}"
175,97,103,151,175,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 300}"
79,7,19,79,73,"{'max_layers': 80, 'n_estimators': 8, 'n_trees': 400}"
85,193,199,79,85,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 50}"
133,139,139,121,133,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 100}"
31,133,133,31,25,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 150}"
151,151,151,151,151,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 200}"
175,157,157,151,175,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 250}"
151,109,121,151,151,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 300}"
199,145,145,199,199,"{'max_layers': 80, 'n_estimators': 10, 'n_trees': 400}"
133,205,205,121,133,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 50}"
85,181,181,79,85,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 100}"
67,169,169,61,61,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 150}"
121,13,31,121,115,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 200}"
151,43,43,151,151,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 250}"
175,163,163,151,175,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 300}"
85,61,37,79,85,"{'max_layers': 80, 'n_estimators': 13, 'n_trees': 400}"
133,127,127,121,133,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 50}"
43,91,79,31,49,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 100}"
25,37,61,13,43,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 150}"
7,79,55,1,7,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 200}"
43,49,73,31,49,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 250}"
13,1,49,13,13,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 300}"
61,67,67,31,79,"{'max_layers': 120, 'n_estimators': 2, 'n_trees': 400}"
175,187,187,151,175,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 50}"
85,103,91,79,85,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 100}"
55,55,13,61,37,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 150}"
13,85,97,13,13,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 200}"
31,73,85,31,25,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 250}"
67,19,1,61,61,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 300}"
85,25,7,79,85,"{'max_layers': 120, 'n_estimators': 5, 'n_trees': 400}"
205,199,193,205,205,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 50}"
115,175,175,79,127,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 100}"
1,121,115,1,1,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 150}"
121,115,109,121,115,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 200}"
151,31,25,151,151,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 250}"
175,97,103,151,175,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 300}"
79,7,19,79,73,"{'max_layers': 120, 'n_estimators': 8, 'n_trees': 400}"
85,193,199,79,85,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 50}"
133,139,139,121,133,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 100}"
31,133,133,31,25,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 150}"
151,151,151,151,151,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 200}"
175,157,157,151,175,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 250}"
151,109,121,151,151,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 300}"
199,145,145,199,199,"{'max_layers': 120, 'n_estimators': 10, 'n_trees': 400}"
133,205,205,121,133,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 50}"
85,181,181,79,85,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 100}"
67,169,169,61,61,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 150}"
121,13,31,121,115,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 200}"
151,43,43,151,151,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 250}"
175,163,163,151,175,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 300}"
85,61,37,79,85,"{'max_layers': 120, 'n_estimators': 13, 'n_trees': 400}"
133,127,127,121,133,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 50}"
43,91,79,31,49,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 100}"
25,37,61,13,43,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 150}"
7,79,55,1,7,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 200}"
43,49,73,31,49,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 250}"
13,1,49,13,13,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 300}"
61,67,67,31,79,"{'max_layers': 150, 'n_estimators': 2, 'n_trees': 400}"
175,187,187,151,175,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 50}"
85,103,91,79,85,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 100}"
55,55,13,61,37,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 150}"
13,85,97,13,13,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 200}"
31,73,85,31,25,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 250}"
67,19,1,61,61,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 300}"
85,25,7,79,85,"{'max_layers': 150, 'n_estimators': 5, 'n_trees': 400}"
205,199,193,205,205,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 50}"
115,175,175,79,127,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 100}"
1,121,115,1,1,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 150}"
121,115,109,121,115,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 200}"
151,31,25,151,151,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 250}"
175,97,103,151,175,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 300}"
79,7,19,79,73,"{'max_layers': 150, 'n_estimators': 8, 'n_trees': 400}"
85,193,199,79,85,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 50}"
133,139,139,121,133,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 100}"
31,133,133,31,25,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 150}"
151,151,151,151,151,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 200}"
175,157,157,151,175,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 250}"
151,109,121,151,151,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 300}"
199,145,145,199,199,"{'max_layers': 150, 'n_estimators': 10, 'n_trees': 400}"
133,205,205,121,133,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 50}"
85,181,181,79,85,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 100}"
67,169,169,61,61,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 150}"
121,13,31,121,115,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 200}"
151,43,43,151,151,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 250}"
175,163,163,151,175,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 300}"
85,61,37,79,85,"{'max_layers': 150, 'n_estimators': 13, 'n_trees': 400}"
133,127,127,121,133,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 50}"
43,91,79,31,49,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 100}"
25,37,61,13,43,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 150}"
7,79,55,1,7,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 200}"
43,49,73,31,49,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 250}"
13,1,49,13,13,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 300}"
61,67,67,31,79,"{'max_layers': 200, 'n_estimators': 2, 'n_trees': 400}"
175,187,187,151,175,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 50}"
85,103,91,79,85,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 100}"
55,55,13,61,37,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 150}"
13,85,97,13,13,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 200}"
31,73,85,31,25,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 250}"
67,19,1,61,61,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 300}"
85,25,7,79,85,"{'max_layers': 200, 'n_estimators': 5, 'n_trees': 400}"
205,199,193,205,205,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 50}"
115,175,175,79,127,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 100}"
1,121,115,1,1,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 150}"
121,115,109,121,115,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 200}"
151,31,25,151,151,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 250}"
175,97,103,151,175,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 300}"
79,7,19,79,73,"{'max_layers': 200, 'n_estimators': 8, 'n_trees': 400}"
85,193,199,79,85,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 50}"
133,139,139,121,133,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 100}"
31,133,133,31,25,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 150}"
151,151,151,151,151,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 200}"
175,157,157,151,175,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 250}"
151,109,121,151,151,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 300}"
199,145,145,199,199,"{'max_layers': 200, 'n_estimators': 10, 'n_trees': 400}"
133,205,205,121,133,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 50}"
85,181,181,79,85,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 100}"
67,169,169,61,61,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 150}"
121,13,31,121,115,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 200}"
151,43,43,151,151,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 250}"
175,163,163,151,175,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 300}"
85,61,37,79,85,"{'max_layers': 200, 'n_estimators': 13, 'n_trees': 400}"
