rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
89,49,49,89,89,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
117,73,77,117,117,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
125,5,1,125,125,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
133,17,13,133,133,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
121,37,45,121,121,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
133,57,41,133,133,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
17,133,129,13,17,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
45,137,137,37,45,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
113,77,65,109,113,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
89,33,53,89,89,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
125,105,101,125,125,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
77,53,57,57,77,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
77,61,61,57,77,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
9,121,121,9,9,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
77,125,125,57,77,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
25,85,85,13,25,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
37,81,81,37,37,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
45,69,73,37,45,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
57,45,21,57,57,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
89,41,5,89,89,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
1,117,117,1,1,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
25,93,93,13,25,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
25,113,113,13,25,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
37,97,97,37,37,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
57,65,69,57,57,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
57,1,25,57,57,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
89,29,33,89,89,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
1,129,133,1,1,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
45,109,109,37,45,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
17,13,29,13,17,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
109,89,89,109,109,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
57,9,9,57,57,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
57,25,37,57,57,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
89,21,17,89,89,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
13,101,105,13,13,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 50}"
89,49,49,89,89,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 100}"
117,73,77,117,117,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 150}"
125,5,1,125,125,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 200}"
133,17,13,133,133,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 250}"
121,37,45,121,121,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 300}"
133,57,41,133,133,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 400}"
17,133,129,13,17,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 50}"
45,137,137,37,45,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 100}"
113,77,65,109,113,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 150}"
89,33,53,89,89,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 200}"
125,105,101,125,125,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 250}"
77,53,57,57,77,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 300}"
77,61,61,57,77,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 400}"
9,121,121,9,9,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 50}"
77,125,125,57,77,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 100}"
25,85,85,13,25,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 150}"
37,81,81,37,37,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 200}"
45,69,73,37,45,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 250}"
