rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
101,73,77,69,101,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 100}"
137,41,69,137,137,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 150}"
65,65,65,25,65,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 200}"
1,53,61,1,1,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 250}"
21,45,53,5,21,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 300}"
125,33,57,105,125,"{'max_layers': 20, 'n_estimators': 2, 'n_trees': 400}"
17,125,125,25,17,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 50}"
133,81,81,133,133,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 100}"
29,13,5,25,29,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 150}"
65,77,73,25,65,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 200}"
77,17,1,69,77,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 250}"
21,9,9,5,21,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 300}"
101,5,13,69,101,"{'max_layers': 20, 'n_estimators': 5, 'n_trees': 400}"
29,133,137,25,29,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 50}"
29,89,85,25,29,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 100}"
29,85,89,25,29,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 150}"
57,61,33,69,57,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 200}"
29,49,21,25,29,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 250}"
29,1,17,25,29,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 300}"
65,69,29,25,65,"{'max_layers': 20, 'n_estimators': 8, 'n_trees': 400}"
109,129,129,105,109,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 50}"
77,101,101,69,77,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 100}"
5,97,97,5,5,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 150}"
57,21,45,69,57,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 200}"
109,57,37,105,109,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 250}"
77,29,25,69,77,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 300}"
109,25,41,105,109,"{'max_layers': 20, 'n_estimators': 10, 'n_trees': 400}"
109,137,133,105,109,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 50}"
77,105,105,69,77,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 100}"
5,117,117,5,5,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 150}"
97,37,49,105,97,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 200}"
77,113,109,69,77,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 250}"
29,109,113,25,29,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 300}"
5,93,93,5,5,"{'max_layers': 20, 'n_estimators': 13, 'n_trees': 400}"
125,121,121,105,125,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 50}"
101,73,77,69,101,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 100}"
137,41,69,137,137,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 150}"
65,65,65,25,65,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 200}"
1,53,61,1,1,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 250}"
21,45,53,5,21,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 300}"
125,33,57,105,125,"{'max_layers': 25, 'n_estimators': 2, 'n_trees': 400}"
17,125,125,25,17,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 50}"
133,81,81,133,133,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 100}"
29,13,5,25,29,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 150}"
65,77,73,25,65,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 200}"
77,17,1,69,77,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 250}"
21,9,9,5,21,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 300}"
101,5,13,69,101,"{'max_layers': 25, 'n_estimators': 5, 'n_trees': 400}"
29,133,137,25,29,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 50}"
29,89,85,25,29,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 100}"
29,85,89,25,29,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 150}"
57,61,33,69,57,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 200}"
29,49,21,25,29,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 250}"
29,1,17,25,29,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 300}"
65,69,29,25,65,"{'max_layers': 25, 'n_estimators': 8, 'n_trees': 400}"
109,129,129,105,109,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 50}"
77,101,101,69,77,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 100}"
5,97,97,5,5,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 150}"
57,21,45,69,57,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 200}"
109,57,37,105,109,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 250}"
77,29,25,69,77,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 300}"
109,25,41,105,109,"{'max_layers': 25, 'n_estimators': 10, 'n_trees': 400}"
109,137,133,105,109,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 50}"
77,105,105,69,77,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 100}"
5,117,117,5,5,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 150}"
97,37,49,105,97,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 200}"
77,113,109,69,77,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 250}"
29,109,113,25,29,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 300}"
5,93,93,5,5,"{'max_layers': 25, 'n_estimators': 13, 'n_trees': 400}"
